物料号,物料描述,栓编码,母编码,平垫97编码,平垫95编码,弹垫编码,是否双平,
11140300330,螺栓副_GB/T5783_M18*240_8.8-电镀锌,TDGG00118,FAA01801,GAB01801,GBG01801,GAE01801,1,
11140300129,螺栓副_GB/T5783_M18*50_8.8-电镀锌,AAD1805001,FAA01801,GAB01801,GBG01801,GAE01801,1,
11140300125,螺栓副_GB/T5783_M18*60_8.8-电镀锌,AAD1806001,FAA01801,GAB01801,GBG01801,GAE01801,1,
11140300071,螺栓副_GB/T5783_M18*80_8.8-电镀锌,AAD1808001,FAA01801,GAB01801,GBG01801,GAE01801,1,
11140300072,螺栓副_GB/T5783_M20*100_8.8-电镀锌,AAD2010001,FAA02001,GAB01801,GBG02001,GAE02001,1,
11140300240,螺栓副_GB/T5783_M20*110_8.8-电镀锌,AAD2011001,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300159,螺栓副_GB/T5783_M20*120_8.8-电镀锌,AAD2012001,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300273,螺栓副_GB/T5783_M20*130_8.8-电镀锌,AAD2013001,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300274,螺栓副_GB/T5783_M20*140_8.8-电镀锌,AAD2014001,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300205,螺栓副_GB/T5783_M20*150_8.8-电镀锌,AAD2015001,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300287,螺栓副_GB/T5783_M20*160_8.8-电镀锌,AAD2016001,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300321,螺栓副_GB/T5783_M20*180_8.8-电镀锌,AAD2018001,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300260,螺栓副_GB/T5783_M20*200_8.8-电镀锌,AAD2020001,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300338,螺栓副_GB/T5783_M20*35_8.8-电镀锌,AAD2003501,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300226,螺栓副_GB/T5783_M20*40_8.8-电镀锌,AAD2004001,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300147,螺栓副_GB/T5783_M20*50_8.8-电镀锌,AAD2005001,FAA02001,GAB02001,GBG02001,GAE02001,1,
GG003374,螺栓副_GB/T5783_M20*55_8.8-电镀锌,AAD2005501,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300108,螺栓副_GB/T5783_M20*60_8.8-电镀锌,AAD2006001,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300119,螺栓副_GB/T5783_M20*65_8.8-电镀锌,AAD2006501,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300130,螺栓副_GB/T5783_M20*70_8.8-电镀锌,AAD2007001,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300073,螺栓副_GB/T5783_M20*80_8.8-电镀锌,AAD2008001,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300074,螺栓副_GB/T5783_M20*90_8.8-电镀锌,AAD2009001,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300176,螺栓副_GB/T5783_M22*100_8.8-电镀锌,TDGG00119,FAA02201,GAB02201,GBG02201,GAE02201,1,
11140300346,螺栓副_GB/T5783_M22*150_8.8-电镀锌,AAD2215001,FAA02201,GAB02201,GBG02201,GAE02201,1,
11140300306,螺栓副_GB/T5783_M22*40_8.8-电镀锌,TDGG00120,FAA02201,GAB02201,GBG02201,GAE02201,1,
11140300262,螺栓副_GB/T5783_M22*70_8.8-电镀锌,TDGG00121,FAA02201,GAB02201,GBG02201,GAE02201,1,
11140300391,螺栓副_GB/T5783_M24*100_8.8-电镀锌,AAD2410001,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300131,螺栓副_GB/T5783_M24*110_8.8-电镀锌,AAD2411001,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300239,螺栓副_GB/T5783_M24*130_8.8-电镀锌,AAD2413001,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300276,螺栓副_GB/T5783_M24*150_8.8-电镀锌,AAD2415001,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300266,螺栓副_GB/T5783_M24*160_8.8-电镀锌,AAD2416001,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300368,螺栓副_GB/T5783_M24*180_8.8-电镀锌,AAD2418001,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300243,螺栓副_GB/T5783_M24*190_8.8-电镀锌,11020100516,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300223,螺栓副_GB/T5783_M24*200_8.8-电镀锌,AAD2420001,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300512,螺栓副_GB/T5783_M24*220_8.8-电镀锌,AAD2422001,FAA02401,GAB02401,GBG02401,GAE02401,1,
